Convergence,Shear,Smooth_matter_fraction(alpha),Mapsize(Er),Numberofpixels,Lens_mass_function_power,Minmass,Maxmass,name_obj,image
0.7023845,0.7022118,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ1537+3014,A
0.587695,0.6549894,0.2,30,1400.0,0.01,0.299,0.3,2M1310-1714,A
0.7222075,0.7221545,0.2,30,900.0,0.01,0.299,0.3,GraLJ165105.3-041725,D
0.3979217,0.3979056,0.2,30,900.0,0.01,0.299,0.3,GraLJ165105.3-041725,A
0.3748551,0.3763983,0.2,30,1300.0,0.01,0.299,0.3,DESJ2038-4008,B
0.2931583,0.293102,0.2,30,1200.0,0.01,0.299,0.3,B1600+434,B
0.430597,0.5239172,0.2,30,800.0,0.01,0.299,0.3,MG0414+0534A,1
1.284315,1.260809,0.2,30,800.0,0.01,0.299,0.3,HST14176+5226,D
0.953197,0.952782,0.2,30,1000.0,0.01,0.299,0.3,J0047+2514,B
0.5511221,0.2647985,0.2,30,900.0,0.01,0.299,0.3,RXJ0911+0551,B
0.8381144,0.8480374,0.2,30,1100.0,0.01,0.299,0.3,H1413+117,D
1.127509,1.12631,0.2,30,900.0,0.01,0.299,0.3,Q1017-207,B
0.5532086,0.548596,0.2,30,1000.0,0.01,0.299,0.3,PSJ0630-1201,A
0.7189385,0.7518099,0.2,30,800.0,0.01,0.299,0.3,MG0414+0534,C
0.09584569,0.5429981,0.2,30,1200.0,0.01,0.299,0.3,J1817+2729,A
0.5068357,0.5066648,0.2,30,1200.0,0.01,0.299,0.3,SDSSJ1021+4913,A
0.4213083,0.4211767,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ0746+4403,A
0.310928,0.3108716,0.2,30,1300.0,0.01,0.299,0.3,SDSSJ1524+4409,B
0.9038584,0.9035463,0.2,30,1000.0,0.01,0.299,0.3,B1152+200,B
0.4745604,0.4452299,0.2,30,900.0,0.01,0.299,0.3,J0659+1629,D
0.5285249,0.5243503,0.2,30,1100.0,0.01,0.299,0.3,WFIJ2026-4536,C
0.6677669,0.6703332,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ0248+1913,B
0.5579878,0.5576375,0.2,30,1100.0,0.01,0.299,0.3,B1127+385,A
1.272109,1.271715,0.2,30,900.0,0.01,0.299,0.3,ULASJ1405+0959,B
0.457797,0.4576204,0.2,30,1100.0,0.01,0.299,0.3,HS0810+2554,C
0.8662231,0.8660521,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ1458-0202,B
0.4044259,0.291114,0.2,30,1400.0,0.01,0.299,0.3,PG1115+080,C
0.5748242,0.5747992,0.2,30,700.0,0.01,0.299,0.3,SDSSJ1320+1644,B
0.3946153,0.3945671,0.2,30,1100.0,0.01,0.299,0.3,PSJ2305+3714,B
0.3423332,0.1866451,0.2,30,900.0,0.01,0.299,0.3,WFI2033-4723,B
0.4620828,0.4620239,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ1442+4055,A
0.5164179,0.5158376,0.2,30,1100.0,0.01,0.299,0.3,HE0013-2542,B
0.2733876,0.2733829,0.2,30,900.0,0.01,0.299,0.3,SDSS1004+4112,C
1.270619,1.2703,0.2,30,900.0,0.01,0.299,0.3,J0028+0631,B
0.3497258,0.3496699,0.2,30,1100.0,0.01,0.299,0.3,J1553+3149,A
0.9226631,0.9225433,0.2,30,800.0,0.01,0.299,0.3,B2108+213,B
0.6721923,0.2667428,0.2,30,1100.0,0.01,0.299,0.3,J2205-3727,C
0.4984893,0.8140723,0.2,30,800.0,0.01,0.299,0.3,HE1113-0641,D
0.6754107,0.6751861,0.2,30,1200.0,0.01,0.299,0.3,SDSSJ0114+0722,A
0.4365825,0.4364887,0.2,30,1100.0,0.01,0.299,0.3,J1616+1415,A
1.084711,1.084278,0.2,30,800.0,0.01,0.299,0.3,PKS1830-211,B
0.2746455,0.2746273,0.2,30,1100.0,0.01,0.299,0.3,J1627-0224,A
0.3527466,0.3200409,0.2,30,1100.0,0.01,0.299,0.3,H1413+117,B
0.4937573,0.4936154,0.2,30,1200.0,0.01,0.299,0.3,B0712+472,B
0.4502521,0.4917925,0.2,30,900.0,0.01,0.299,0.3,J1131-4419,D
0.02774424,0.2763891,0.2,30,900.0,0.01,0.299,0.3,HST12531-2914,A
0.293874,0.2938208,0.2,30,1600.0,0.01,0.299,0.3,SDSSJ1353+1138,A
0.4047195,0.4046864,0.2,30,1000.0,0.01,0.299,0.3,B1030+074,A
0.3720405,0.4344055,0.2,30,1100.0,0.01,0.299,0.3,DESJ0405-3308,A
0.715203,0.7151099,0.2,30,1500.0,0.01,0.299,0.3,WG2100-4452,A
0.3145603,0.3145088,0.2,30,800.0,0.01,0.299,0.3,LBQS1009-0252,A
0.732997,0.372654,0.2,30,900.0,0.01,0.299,0.3,SDSSJ1251+2935,D
0.5845213,0.5842997,0.2,30,1100.0,0.01,0.299,0.3,J1640+1045,A
0.6580377,0.2844417,0.2,30,900.0,0.01,0.299,0.3,SDSSJ1251+2935,C
0.854947,0.8545883,0.2,30,1700.0,0.01,0.299,0.3,SDSSJ0904+1512,B
0.384652,0.384631,0.2,30,800.0,0.01,0.299,0.3,B2108+213,A
0.3295142,0.3294846,0.2,30,1100.0,0.01,0.299,0.3,Q0142-100,B
1.651759,1.650586,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ1349+1227,B
0.3360919,0.3360335,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ1339+1310,A
0.4972464,0.4971071,0.2,30,1000.0,0.01,0.299,0.3,COSMOS5921+0638,B
0.312085,1.330702,0.2,30,1000.0,0.01,0.299,0.3,J1537-3010,B
0.2940343,0.294,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ1537+3014,B
0.5026316,0.2171401,0.2,30,900.0,0.01,0.299,0.3,SDSSJ1251+2935,A
4.747221,4.100745,0.2,30,1200.0,0.01,0.299,0.3,J0343-2828,A
0.4818124,0.3338907,0.2,30,1100.0,0.01,0.299,0.3,B0128+437,A
0.3369238,0.3502013,0.2,30,1100.0,0.01,0.299,0.3,H1413+117,C
